paper_id,author_id,author_position
NEURIPS-2019-P0042,NEURIPS-2019-A000161,2
NEURIPS-2019-P0042,NEURIPS-2019-A000162,3
NEURIPS-2019-P0043,NEURIPS-2019-A000163,1
NEURIPS-2019-P0043,NEURIPS-2019-A000164,2
NEURIPS-2019-P0043,NEURIPS-2019-A000165,3
NEURIPS-2019-P0044,NEURIPS-2019-A000166,1
NEURIPS-2019-P0044,NEURIPS-2019-A000167,2
NEURIPS-2019-P0044,NEURIPS-2019-A000168,3
NEURIPS-2019-P0044,NEURIPS-2019-A000169,4
NEURIPS-2019-P0045,NEURIPS-2019-A000170,1
NEURIPS-2019-P0045,NEURIPS-2019-A000171,2
NEURIPS-2019-P0045,NEURIPS-2019-A000172,3
NEURIPS-2019-P0045,NEURIPS-2019-A000173,4
NEURIPS-2019-P0046,NEURIPS-2019-A000174,1
NEURIPS-2019-P0046,NEURIPS-2019-A000175,2
NEURIPS-2019-P0047,NEURIPS-2019-A000176,1
NEURIPS-2019-P0047,NEURIPS-2019-A000177,2
NEURIPS-2019-P0047,NEURIPS-2019-A000178,3
NEURIPS-2019-P0047,NEURIPS-2019-A000179,4
NEURIPS-2019-P0047,NEURIPS-2019-A000180,5
NEURIPS-2019-P0047,NEURIPS-2019-A000181,6
NEURIPS-2019-P0048,NEURIPS-2019-A000182,1
NEURIPS-2019-P0048,NEURIPS-2019-A000183,2
NEURIPS-2019-P0048,NEURIPS-2019-A000184,3
NEURIPS-2019-P0048,NEURIPS-2019-A000185,4
NEURIPS-2019-P0049,NEURIPS-2019-A000186,1
NEURIPS-2019-P0049,NEURIPS-2019-A000187,2
NEURIPS-2019-P0049,NEURIPS-2019-A000188,3
NEURIPS-2019-P0049,NEURIPS-2019-A000189,4
NEURIPS-2019-P0050,NEURIPS-2019-A000190,1
NEURIPS-2019-P0050,NEURIPS-2019-A000191,2
NEURIPS-2019-P0050,NEURIPS-2019-A000192,3
NEURIPS-2019-P0050,NEURIPS-2019-A000193,4
NEURIPS-2019-P0050,NEURIPS-2019-A000194,5
NEURIPS-2019-P0051,NEURIPS-2019-A000195,1
NEURIPS-2019-P0051,NEURIPS-2019-A000196,2
NEURIPS-2019-P0051,NEURIPS-2019-A000197,3
NEURIPS-2019-P0051,NEURIPS-2019-A000198,4
NEURIPS-2019-P0052,NEURIPS-2019-A000199,1
NEURIPS-2019-P0052,NEURIPS-2019-A000200,2
NEURIPS-2019-P0053,NEURIPS-2019-A000201,1
NEURIPS-2019-P0053,NEURIPS-2019-A000202,2
NEURIPS-2019-P0053,NEURIPS-2019-A000203,3
NEURIPS-2019-P0053,NEURIPS-2019-A000204,4
NEURIPS-2019-P0054,NEURIPS-2019-A000205,1
NEURIPS-2019-P0054,NEURIPS-2019-A000206,2
NEURIPS-2019-P0054,NEURIPS-2019-A000207,3
NEURIPS-2019-P0054,NEURIPS-2019-A000208,4
NEURIPS-2019-P0054,NEURIPS-2019-A000209,5
NEURIPS-2019-P0054,NEURIPS-2019-A000210,6
NEURIPS-2019-P0054,NEURIPS-2019-A000211,7
NEURIPS-2019-P0055,NEURIPS-2019-A000212,1
NEURIPS-2019-P0055,NEURIPS-2019-A000213,2
NEURIPS-2019-P0055,NEURIPS-2019-A000214,3
