paper_id,author_id,author_name,selected_variant,selection_reason,institution_raw,institution_normalized,candidate_score,first_page_text_path,source_url
CVPR-2017-P0011,CVPR-2017-A000047,Jean-Denis Durou,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0011.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Queau_A_Non-Convex_Variational_CVPR_2017_paper.pdf
CVPR-2017-P0011,CVPR-2017-A000048,Daniel Cremers,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0011.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Queau_A_Non-Convex_Variational_CVPR_2017_paper.pdf
CVPR-2017-P0012,CVPR-2017-A000049,Gul Varol,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0012.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf
CVPR-2017-P0012,CVPR-2017-A000050,Javier Romero,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0012.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf
CVPR-2017-P0012,CVPR-2017-A000051,Xavier Martin,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0012.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf
CVPR-2017-P0012,CVPR-2017-A000052,Naureen Mahmood,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0012.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf
CVPR-2017-P0012,CVPR-2017-A000053,Michael J. Black,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0012.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf
CVPR-2017-P0012,CVPR-2017-A000054,Ivan Laptev,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0012.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf
CVPR-2017-P0012,CVPR-2017-A000055,Cordelia Schmid,symbol,no_viable_candidate,UNKNOWN,UNKNOWN,-1000,data/raw/cvpr/2017/first_pages/CVPR-2017-P0012.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Varol_Learning_From_Synthetic_CVPR_2017_paper.pdf
CVPR-2017-P0013,CVPR-2017-A000056,Chengjiang Long,stacked,complete_stacked_variant,"Kitware Inc. Corporate Dr, Clifton Park, NY, USA","Kitware Inc. Corporate Dr, Clifton Park, NY, USA",6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0013.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Long_Correlational_Gaussian_Processes_CVPR_2017_paper.pdf
CVPR-2017-P0013,CVPR-2017-A000057,Gang Hua,stacked,complete_stacked_variant,"Microsoft Research Asia Haidian District, Beijing, P.R. China","Microsoft Research Asia Haidian District, Beijing, P.R. China",6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0013.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Long_Correlational_Gaussian_Processes_CVPR_2017_paper.pdf
CVPR-2017-P0014,CVPR-2017-A000058,Je Hyeong Hong,stacked,complete_stacked_variant,University of Cambridge,University of Cambridge,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0014.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Hong_Revisiting_the_Variable_CVPR_2017_paper.pdf
CVPR-2017-P0014,CVPR-2017-A000059,Christopher Zach,stacked,complete_stacked_variant,Toshiba Research Europe,Toshiba Research Europe,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0014.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Hong_Revisiting_the_Variable_CVPR_2017_paper.pdf
CVPR-2017-P0014,CVPR-2017-A000060,Andrew Fitzgibbon,stacked,complete_stacked_variant,Microsoft,Microsoft,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0014.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Hong_Revisiting_the_Variable_CVPR_2017_paper.pdf
CVPR-2017-P0015,CVPR-2017-A000061,Lijun Wang,shared,complete_shared_variant,"Dalian University of Technology, China","Dalian University of Technology, China",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0015.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf
CVPR-2017-P0015,CVPR-2017-A000062,Huchuan Lu,shared,complete_shared_variant,"Dalian University of Technology, China","Dalian University of Technology, China",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0015.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf
CVPR-2017-P0015,CVPR-2017-A000063,Yifan Wang,shared,complete_shared_variant,"Dalian University of Technology, China","Dalian University of Technology, China",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0015.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf
CVPR-2017-P0015,CVPR-2017-A000064,Mengyang Feng,shared,complete_shared_variant,"Dalian University of Technology, China","Dalian University of Technology, China",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0015.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf
CVPR-2017-P0015,CVPR-2017-A000065,Dong Wang,shared,complete_shared_variant,"Dalian University of Technology, China","Dalian University of Technology, China",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0015.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf
CVPR-2017-P0015,CVPR-2017-A000066,Baocai Yin,shared,complete_shared_variant,"Dalian University of Technology, China","Dalian University of Technology, China",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0015.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf
CVPR-2017-P0015,CVPR-2017-A000067,Xiang Ruan,shared,complete_shared_variant,"Dalian University of Technology, China","Dalian University of Technology, China",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0015.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Wang_Learning_to_Detect_CVPR_2017_paper.pdf
CVPR-2017-P0016,CVPR-2017-A000068,Jie Qin,numbered,complete_numbered_variant,"Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University | State Key Laboratory of Virtual Reality Technology and Systems, Beihang University","Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University | State Key Laboratory of Virtual Reality Technology and Systems, Beihang University",9,data/raw/cvpr/2017/first_pages/CVPR-2017-P0016.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf
CVPR-2017-P0016,CVPR-2017-A000069,Li Liu,numbered,complete_numbered_variant,"Malong Technologies Co., Ltd. | University of East Anglia","Malong Technologies Co., Ltd. | University of East Anglia",3,data/raw/cvpr/2017/first_pages/CVPR-2017-P0016.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf
CVPR-2017-P0016,CVPR-2017-A000070,Ling Shao,numbered,complete_numbered_variant,University of East Anglia,University of East Anglia,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0016.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf
CVPR-2017-P0016,CVPR-2017-A000071,Bingbing Ni,numbered,complete_numbered_variant,Shanghai Jiao Tong University,Shanghai Jiao Tong University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0016.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf
CVPR-2017-P0016,CVPR-2017-A000072,Chen Chen,numbered,complete_numbered_variant,"Center for Research in Computer Vision, University of Central Florida","Center for Research in Computer Vision, University of Central Florida",6,data/raw/cvpr/2017/first_pages/CVPR-2017-P0016.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf
CVPR-2017-P0016,CVPR-2017-A000073,Fumin Shen,numbered,complete_numbered_variant,University of Electronic Science and Technology of China,University of Electronic Science and Technology of China,4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0016.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf
CVPR-2017-P0016,CVPR-2017-A000074,Yunhong Wang,numbered,complete_numbered_variant,"Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University | State Key Laboratory of Virtual Reality Technology and Systems, Beihang University","Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University | State Key Laboratory of Virtual Reality Technology and Systems, Beihang University",9,data/raw/cvpr/2017/first_pages/CVPR-2017-P0016.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Qin_Binary_Coding_for_CVPR_2017_paper.pdf
CVPR-2017-P0017,CVPR-2017-A000075,Colin Lea,shared,complete_shared_variant,Johns Hopkins University,Johns Hopkins University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0017.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Lea_Temporal_Convolutional_Networks_CVPR_2017_paper.pdf
CVPR-2017-P0017,CVPR-2017-A000076,Michael D. Flynn,shared,complete_shared_variant,Johns Hopkins University,Johns Hopkins University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0017.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Lea_Temporal_Convolutional_Networks_CVPR_2017_paper.pdf
CVPR-2017-P0017,CVPR-2017-A000077,Rene Vidal,shared,complete_shared_variant,Johns Hopkins University,Johns Hopkins University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0017.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Lea_Temporal_Convolutional_Networks_CVPR_2017_paper.pdf
CVPR-2017-P0017,CVPR-2017-A000078,Austin Reiter,shared,complete_shared_variant,Johns Hopkins University,Johns Hopkins University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0017.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Lea_Temporal_Convolutional_Networks_CVPR_2017_paper.pdf
CVPR-2017-P0017,CVPR-2017-A000079,Gregory D. Hager,shared,complete_shared_variant,Johns Hopkins University,Johns Hopkins University,2,data/raw/cvpr/2017/first_pages/CVPR-2017-P0017.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Lea_Temporal_Convolutional_Networks_CVPR_2017_paper.pdf
CVPR-2017-P0018,CVPR-2017-A000080,Swaminathan Gurumurthy,shared,complete_shared_variant,"Video Analytics Lab, CDS, Indian Institute of Science","Video Analytics Lab, CDS, Indian Institute of Science",4,data/raw/cvpr/2017/first_pages/CVPR-2017-P0018.txt,https://openaccess.thecvf.com/content_cvpr_2017/papers/Gurumurthy_DeLiGAN__Generative_CVPR_2017_paper.pdf
