author_id,author_name,institution,country,conference,year
ICCV-2019-A004211,Julian Straub,Facebook Reality Labs,United States,ICCV,2019
ICCV-2019-A004212,Jia Liu,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004213,Vladlen Koltun,Intel Labs,UNKNOWN,ICCV,2019
ICCV-2019-A004214,Jitendra Malik,Facebook AI Research | UC Berkeley,United States,ICCV,2019
ICCV-2019-A004215,Devi Parikh,Facebook AI Research | Georgia Institute of Technology,United States,ICCV,2019
ICCV-2019-A004216,Dhruv Batra,Facebook AI Research | Georgia Institute of Technology,United States,ICCV,2019
ICCV-2019-A004217,Bangjie Yin,Michigan State University,United States,ICCV,2019
ICCV-2019-A004218,Luan Tran,Michigan State University,United States,ICCV,2019
ICCV-2019-A004219,Haoxiang Li,Wormpex AI Research,UNKNOWN,ICCV,2019
ICCV-2019-A004220,Xiaohui Shen,ByteDance AI Lab,China,ICCV,2019
ICCV-2019-A004221,Xiaoming Liu,Michigan State University,United States,ICCV,2019
ICCV-2019-A004222,Xiaobo Wang,"JD AI Research, Beijing, China",China,ICCV,2019
ICCV-2019-A004223,Shuo Wang,"JD AI Research, Beijing, China",China,ICCV,2019
ICCV-2019-A004224,Jun Wang,"JD AI Research, Beijing, China",China,ICCV,2019
ICCV-2019-A004225,Hailin Shi,"JD AI Research, Beijing, China",China,ICCV,2019
ICCV-2019-A004226,Tao Mei,"JD AI Research, Beijing, China",China,ICCV,2019
ICCV-2019-A004227,Seonwook Park,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004228,Shalini De Mello,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004229,Pavlo Molchanov,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004230,Umar Iqbal,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004231,Otmar Hilliges,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004232,Jan Kautz,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004233,Oran Gafni,Facebook AI Research and Tel-Aviv University,Israel,ICCV,2019
ICCV-2019-A004234,Lior Wolf,Facebook AI Research and Tel-Aviv University,Israel,ICCV,2019
ICCV-2019-A004235,Yaniv Taigman,Facebook AI Research,United States,ICCV,2019
ICCV-2019-A004236,Wenqi Ren,"SKLOIS, IIE, CAS Microsoft Research Asia University of Chinese Academy of Sciences",China,ICCV,2019
ICCV-2019-A004237,Jiaolong Yang,"SKLOIS, IIE, CAS Microsoft Research Asia University of Chinese Academy of Sciences",China,ICCV,2019
ICCV-2019-A004238,Senyou Deng,"SKLOIS, IIE, CAS Microsoft Research Asia University of Chinese Academy of Sciences",China,ICCV,2019
ICCV-2019-A004239,David Wipf,"SKLOIS, IIE, CAS Microsoft Research Asia University of Chinese Academy of Sciences",China,ICCV,2019
ICCV-2019-A004240,Xiaochun Cao,"SKLOIS, IIE, CAS Microsoft Research Asia University of Chinese Academy of Sciences",China,ICCV,2019
ICCV-2019-A004241,Xin Tong,"SKLOIS, IIE, CAS Microsoft Research Asia University of Chinese Academy of Sciences",China,ICCV,2019
ICCV-2019-A004242,Jingtan Piao,"CUHK-SenseTime Joint Laboratory, The Chinese University of Hong Kong Sensetime Research",China,ICCV,2019
ICCV-2019-A004243,Chen Qian,"CUHK-SenseTime Joint Laboratory, The Chinese University of Hong Kong Sensetime Research",China,ICCV,2019
ICCV-2019-A004244,Hongsheng Li,"CUHK-SenseTime Joint Laboratory, The Chinese University of Hong Kong Sensetime Research",China,ICCV,2019
ICCV-2019-A004245,Feng Liu,"Department of Computer Science and Engineering Michigan State University, East Lansing MI",United States,ICCV,2019
ICCV-2019-A004246,Luan Tran,"Department of Computer Science and Engineering Michigan State University, East Lansing MI",United States,ICCV,2019
ICCV-2019-A004247,Xiaoming Liu,"Department of Computer Science and Engineering Michigan State University, East Lansing MI",United States,ICCV,2019
ICCV-2019-A004248,Victoria Fernandez Abrevaya,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004249,Adnane Boukhayma,"Inria - Univ. Grenoble Alpes - CNRS - LJK, France",France,ICCV,2019
ICCV-2019-A004250,Stefanie Wuhrer,"Inria - Univ. Grenoble Alpes - CNRS - LJK, France",France,ICCV,2019
ICCV-2019-A004251,Edmond Boyer,"Inria - Univ. Grenoble Alpes - CNRS - LJK, France",France,ICCV,2019
ICCV-2019-A004252,Anpei Chen,ShanghaiTech University Edinburgh Napier University,China | United Kingdom,ICCV,2019
ICCV-2019-A004253,Zhang Chen,ShanghaiTech University Edinburgh Napier University,China | United Kingdom,ICCV,2019
ICCV-2019-A004254,Guli Zhang,ShanghaiTech University Edinburgh Napier University,China | United Kingdom,ICCV,2019
ICCV-2019-A004255,Kenny Mitchell,ShanghaiTech University Edinburgh Napier University,China | United Kingdom,ICCV,2019
ICCV-2019-A004256,Jingyi Yu,ShanghaiTech University Edinburgh Napier University,China | United Kingdom,ICCV,2019
ICCV-2019-A004257,Zhenliang He,"Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS) | University of Chinese Academy of Sciences, Beijing , China",China,ICCV,2019
ICCV-2019-A004258,Meina Kan,"Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS) | University of Chinese Academy of Sciences, Beijing , China",China,ICCV,2019
ICCV-2019-A004259,Shiguang Shan,"Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS) | University of Chinese Academy of Sciences, Beijing , China | Peng Cheng Laboratory, Shenzhen, China",China,ICCV,2019
ICCV-2019-A004260,Xilin Chen,"Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS) | University of Chinese Academy of Sciences, Beijing , China",China,ICCV,2019
ICCV-2019-A004261,Ben Usman,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004262,Nick Dufour,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004263,Kate Saenko,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004264,Chris Bregler,UNKNOWN,UNKNOWN,ICCV,2019
ICCV-2019-A004265,Egor Zakharov,"Samsung AI Center, Moscow | Skolkovo Institute of Science and Technology",UNKNOWN,ICCV,2019
ICCV-2019-A004266,Aliaksandra Shysheya,"Samsung AI Center, Moscow | Skolkovo Institute of Science and Technology",UNKNOWN,ICCV,2019
ICCV-2019-A004267,Egor Burkov,"Samsung AI Center, Moscow | Skolkovo Institute of Science and Technology",UNKNOWN,ICCV,2019
