author_id,author_name,institution,country,conference,year
AAAI-2021-A004104,Li Gao,"National Engineering Research Center for Multimedia Software, Institute of Artificial Intelligence, School of Computer Science and Hubei Key Laboratory of Multimedia and Network Communication Engineering, Wuhan University, Wuhan, China. Horizon Robotics, Inc., Beijing, China.",China,AAAI,2021
AAAI-2021-A004105,Lefei Zhang,"National Engineering Research Center for Multimedia Software, Institute of Artificial Intelligence, School of Computer Science and Hubei Key Laboratory of Multimedia and Network Communication Engineering, Wuhan University, Wuhan, China. Horizon Robotics, Inc., Beijing, China.",China,AAAI,2021
AAAI-2021-A004106,Qian Zhang,"National Engineering Research Center for Multimedia Software, Institute of Artificial Intelligence, School of Computer Science and Hubei Key Laboratory of Multimedia and Network Communication Engineering, Wuhan University, Wuhan, China. Horizon Robotics, Inc., Beijing, China.",China,AAAI,2021
AAAI-2021-A004107,Nicolas Papernot,"Google Brain, Apple",UNKNOWN,AAAI,2021
AAAI-2021-A004108,Abhradeep Thakurta,"Google Brain, Apple",UNKNOWN,AAAI,2021
AAAI-2021-A004109,Shuang Song,"Google Brain, Apple",UNKNOWN,AAAI,2021
AAAI-2021-A004110,Steve Chien,"Google Brain, Apple",UNKNOWN,AAAI,2021
AAAI-2021-A004111,Úlfar Erlingsson,"Google Brain, Apple",UNKNOWN,AAAI,2021
AAAI-2021-A004112,Namuk Park,Yonsei University,UNKNOWN,AAAI,2021
AAAI-2021-A004113,Taekyu Lee,Yonsei University,UNKNOWN,AAAI,2021
AAAI-2021-A004114,Songkuk Kim,Yonsei University,UNKNOWN,AAAI,2021
AAAI-2021-A004115,Lucas Pascal,"EURECOM, France | Orkis, France",France,AAAI,2021
AAAI-2021-A004116,Pietro Michiardi,"EURECOM, France",France,AAAI,2021
AAAI-2021-A004117,Xavier Bost,"Orkis, France",France,AAAI,2021
AAAI-2021-A004118,Benoit Huet,"Median Technologies, France",France,AAAI,2021
AAAI-2021-A004119,Maria A. Zuluaga,"EURECOM, France",France,AAAI,2021
AAAI-2021-A004120,Matteo Pegoraro,"MOX - Department of Mathematics, Politecnico di Milano",UNKNOWN,AAAI,2021
AAAI-2021-A004121,Mario Beraha,"Department of Mathematics, Politecnico di Milano",UNKNOWN,AAAI,2021
AAAI-2021-A004122,Quoc Phong Nguyen,"Dept. of Computer Science, National University of Singapore, Republic of Singapore",Singapore,AAAI,2021
