paper_id,title,author_ids,conference,year,source_url
NEURIPS-2020-P0030,Efficient Contextual Bandits with Continuous Actions,NEURIPS-2020-A000117|NEURIPS-2020-A000118|NEURIPS-2020-A000119|NEURIPS-2020-A000120|NEURIPS-2020-A000121|NEURIPS-2020-A000122,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/033cc385728c51d97360020ed57776f0-Abstract.html
NEURIPS-2020-P0031,Achieving Equalized Odds by Resampling Sensitive Attributes,NEURIPS-2020-A000123|NEURIPS-2020-A000124|NEURIPS-2020-A000125,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/03593ce517feac573fdaafa6dcedef61-Abstract.html
NEURIPS-2020-P0032,Multi-Robot Collision Avoidance under Uncertainty with Probabilistic Safety Barrier Certificates,NEURIPS-2020-A000126|NEURIPS-2020-A000127|NEURIPS-2020-A000128,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/03793ef7d06ffd63d34ade9d091f1ced-Abstract.html
NEURIPS-2020-P0033,Hard Shape-Constrained Kernel Machines,NEURIPS-2020-A000129|NEURIPS-2020-A000130,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/03fa2f7502f5f6b9169e67d17cbf51bb-Abstract.html
NEURIPS-2020-P0034,A Closer Look at the Training Strategy for Modern Meta-Learning,NEURIPS-2020-A000131|NEURIPS-2020-A000132|NEURIPS-2020-A000133|NEURIPS-2020-A000134|NEURIPS-2020-A000135|NEURIPS-2020-A000136,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0415740eaa4d9decbc8da001d3fd805f-Abstract.html
NEURIPS-2020-P0035,On the Value of Out-of-Distribution Testing: An Example of Goodhart's Law,NEURIPS-2020-A000137|NEURIPS-2020-A000138|NEURIPS-2020-A000139|NEURIPS-2020-A000140|NEURIPS-2020-A000141|NEURIPS-2020-A000142,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/045117b0e0a11a242b9765e79cbf113f-Abstract.html
NEURIPS-2020-P0036,Generalised Bayesian Filtering via Sequential Monte Carlo,NEURIPS-2020-A000143|NEURIPS-2020-A000144|NEURIPS-2020-A000145|NEURIPS-2020-A000146,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/04ecb1fa28506ccb6f72b12c0245ddbc-Abstract.html
NEURIPS-2020-P0037,Deterministic Approximation for Submodular Maximization over a Matroid in Nearly Linear Time,NEURIPS-2020-A000147|NEURIPS-2020-A000148|NEURIPS-2020-A000149|NEURIPS-2020-A000150,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/05128e44e27c36bdba71221bfccf735d-Abstract.html
NEURIPS-2020-P0038,Flows for simultaneous manifold learning and density estimation,NEURIPS-2020-A000151|NEURIPS-2020-A000152,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/051928341be67dcba03f0e04104d9047-Abstract.html
NEURIPS-2020-P0039,Simultaneous Preference and Metric Learning from Paired Comparisons,NEURIPS-2020-A000153|NEURIPS-2020-A000154,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0561bc7ecba98e39ca7994f93311ba23-Abstract.html
NEURIPS-2020-P0040,Efficient Variational Inference for Sparse Deep Learning with Theoretical Guarantee,NEURIPS-2020-A000155|NEURIPS-2020-A000156|NEURIPS-2020-A000157,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/05a624166c8eb8273b8464e8d9cb5bd9-Abstract.html
NEURIPS-2020-P0041,Learning Manifold Implicitly via Explicit Heat-Kernel Learning,NEURIPS-2020-A000158|NEURIPS-2020-A000159|NEURIPS-2020-A000160,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/05e2a0647e260c355dd2b2175edb45b8-Abstract.html
NEURIPS-2020-P0042,Deep Relational Topic Modeling via Graph Poisson Gamma Belief Network,NEURIPS-2020-A000161|NEURIPS-2020-A000162|NEURIPS-2020-A000163|NEURIPS-2020-A000164|NEURIPS-2020-A000165|NEURIPS-2020-A000166,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/05ee45de8d877c3949760a94fa691533-Abstract.html
NEURIPS-2020-P0043,One-bit Supervision for Image Classification,NEURIPS-2020-A000167|NEURIPS-2020-A000168|NEURIPS-2020-A000169|NEURIPS-2020-A000170|NEURIPS-2020-A000171,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/05f971b5ec196b8c65b75d2ef8267331-Abstract.html
NEURIPS-2020-P0044,What is being transferred in transfer learning?,NEURIPS-2020-A000172|NEURIPS-2020-A000173|NEURIPS-2020-A000174,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0607f4c705595b911a4f3e7a127b44e0-Abstract.html
NEURIPS-2020-P0045,Submodular Maximization Through Barrier Functions,NEURIPS-2020-A000175|NEURIPS-2020-A000176|NEURIPS-2020-A000177|NEURIPS-2020-A000178,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/061412e4a03c02f9902576ec55ebbe77-Abstract.html
NEURIPS-2020-P0046,Neural Networks with Recurrent Generative Feedback,NEURIPS-2020-A000179|NEURIPS-2020-A000180|NEURIPS-2020-A000181|NEURIPS-2020-A000182|NEURIPS-2020-A000183|NEURIPS-2020-A000184|NEURIPS-2020-A000185,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0660895c22f8a14eb039bfb9beb0778f-Abstract.html
NEURIPS-2020-P0047,Learning to Extrapolate Knowledge: Transductive Few-shot Out-of-Graph Link Prediction,NEURIPS-2020-A000186|NEURIPS-2020-A000187|NEURIPS-2020-A000188,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0663a4ddceacb40b095eda264a85f15c-Abstract.html
NEURIPS-2020-P0048,Exploiting weakly supervised visual patterns to learn from partial annotations,NEURIPS-2020-A000189|NEURIPS-2020-A000190,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/066ca7bf90807fcd8e4f1eaef4e4e8f7-Abstract.html
NEURIPS-2020-P0049,Improving Inference for Neural Image Compression,NEURIPS-2020-A000191|NEURIPS-2020-A000192|NEURIPS-2020-A000193,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/066f182b787111ed4cb65ed437f0855b-Abstract.html
NEURIPS-2020-P0050,Neuron Merging: Compensating for Pruned Neurons,NEURIPS-2020-A000194|NEURIPS-2020-A000195|NEURIPS-2020-A000196|NEURIPS-2020-A000197,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/0678ca2eae02d542cc931e81b74de122-Abstract.html
NEURIPS-2020-P0051,FixMatch: Simplifying Semi-Supervised Learning with Consistency and Confidence,NEURIPS-2020-A000198|NEURIPS-2020-A000199|NEURIPS-2020-A000200|NEURIPS-2020-A000201|NEURIPS-2020-A000202|NEURIPS-2020-A000203|NEURIPS-2020-A000204|NEURIPS-2020-A000205|NEURIPS-2020-A000206,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/06964dce9addb1c5cb5d6e3d9838f733-Abstract.html
NEURIPS-2020-P0052,Reinforcement Learning with Combinatorial Actions: An Application to Vehicle Routing,NEURIPS-2020-A000207|NEURIPS-2020-A000208|NEURIPS-2020-A000209,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/06a9d51e04213572ef0720dd27a84792-Abstract.html
NEURIPS-2020-P0053,Towards Playing Full MOBA Games with Deep Reinforcement Learning,NEURIPS-2020-A000210|NEURIPS-2020-A000211|NEURIPS-2020-A000212|NEURIPS-2020-A000213|NEURIPS-2020-A000214|NEURIPS-2020-A000215|NEURIPS-2020-A000216|NEURIPS-2020-A000217|NEURIPS-2020-A000218|NEURIPS-2020-A000219|NEURIPS-2020-A000220|NEURIPS-2020-A000221|NEURIPS-2020-A000222|NEURIPS-2020-A000223|NEURIPS-2020-A000224|NEURIPS-2020-A000225|NEURIPS-2020-A000226|NEURIPS-2020-A000227,NeurIPS,2020,https://proceedings.neurips.cc/paper_files/paper/2020/hash/06d5ae105ea1bea4d800bc96491876e9-Abstract.html
