author_id,author_name,country,institution,conference,year,source_url,source_note
ICML-2023-A007693,Changsheng Li,China,"Beijing Institute of Technology, Beijing, China",ICML,2023,https://proceedings.mlr.press/v202/zhang23ac/zhang23ac.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007694,Bo Han,UNKNOWN,"Department of Computer Science, Hong Kong Baptist University",ICML,2023,https://proceedings.mlr.press/v202/zhang23ac/zhang23ac.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007695,Mingkui Tan,UNKNOWN,School of Software Engineering,ICML,2023,https://proceedings.mlr.press/v202/zhang23ac/zhang23ac.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007696,Shijun Zhang,United States | United Kingdom,"Department of Mathematics, Duke University, USA.",ICML,2023,https://proceedings.mlr.press/v202/zhang23ad/zhang23ad.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007697,Jianfeng Lu,United States | United Kingdom,"Department of Mathematics, Duke University, USA.",ICML,2023,https://proceedings.mlr.press/v202/zhang23ad/zhang23ad.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007698,Hongkai Zhao,United States | United Kingdom,"Department of Mathematics, Duke University, USA.",ICML,2023,https://proceedings.mlr.press/v202/zhang23ad/zhang23ad.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007699,Yuxin Zhang,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ae.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007700,Yiting Luo,UNKNOWN,UNKNOWN,ICML,2023,https://proceedings.mlr.press/v202/zhang23ae.html,Parsed from PMLR proceedings page; affiliation enrichment pending from PDF first pages
ICML-2023-A007701,Mingbao Lin,UNKNOWN,Tencent Youtu Lab,ICML,2023,https://proceedings.mlr.press/v202/zhang23ae/zhang23ae.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007702,Yunshan Zhong,UNKNOWN,Key Laboratory of Multimedia Trusted,ICML,2023,https://proceedings.mlr.press/v202/zhang23ae/zhang23ae.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007703,Jingjing Xie,UNKNOWN,Key Laboratory of Multimedia Trusted,ICML,2023,https://proceedings.mlr.press/v202/zhang23ae/zhang23ae.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007704,Fei Chao,UNKNOWN,Key Laboratory of Multimedia Trusted,ICML,2023,https://proceedings.mlr.press/v202/zhang23ae/zhang23ae.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007705,Rongrong Ji,UNKNOWN,Key Laboratory of Multimedia Trusted,ICML,2023,https://proceedings.mlr.press/v202/zhang23ae/zhang23ae.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007706,Jie Zhang,UNKNOWN,"Department of Computing, The Hong Kong Polytechnic",ICML,2023,https://proceedings.mlr.press/v202/zhang23af/zhang23af.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007707,Xiaosong Ma,UNKNOWN,"Department of Computing, The Hong Kong Polytechnic",ICML,2023,https://proceedings.mlr.press/v202/zhang23af/zhang23af.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007708,Song Guo,UNKNOWN,"Department of Computing, The Hong Kong Polytechnic",ICML,2023,https://proceedings.mlr.press/v202/zhang23af/zhang23af.pdf,Affiliation parsed from local first-page text extracted from paper PDF
ICML-2023-A007709,Wenchao Xu,UNKNOWN,"Department of Computing, The Hong Kong Polytechnic",ICML,2023,https://proceedings.mlr.press/v202/zhang23af/zhang23af.pdf,Affiliation parsed from local first-page text extracted from paper PDF
