author_id,author_name,country,institution,conference,year,source_url,source_note
ECCV-2024-A000037,Chang Liu,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_8,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000038,Mingxu Zhu,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_8,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000039,Cong Ma,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_8,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000040,Jin Zhang,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_9,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000041,Ruiheng Zhang,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_9,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000042,Yanjiao Shi,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_9,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000043,Zhe Cao,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_9,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000044,Nian Liu,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_9,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000045,Fahad Shahbaz Khan,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_9,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
ECCV-2024-A000046,Kuan-Chih Huang,UNKNOWN,UNKNOWN,ECCV,2024,https://link.springer.com/chapter/10.1007/978-3-031-73232-4_10,Parsed from Springer proceedings TOC; affiliations require first-page enrichment and author lists may be truncated with et al.
