paper_id,author_id,author_name,institution_candidate,country_candidate,first_page_text_path
CVPR-2015-P0013,CVPR-2015-A000051,Yao Qin,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0013,CVPR-2015-A000052,Huchuan Lu,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0013,CVPR-2015-A000053,Yiqun Xu,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0013,CVPR-2015-A000054,He Wang,Dalian University of Technology,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0013.txt
CVPR-2015-P0014,CVPR-2015-A000055,Jonas Wulff,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0014.txt
CVPR-2015-P0014,CVPR-2015-A000056,Michael J. Black,"Max Planck Institute for Intelligent Systems, Tübingen, Germany",Germany,data/raw/cvpr/2015/first_pages/CVPR-2015-P0014.txt
CVPR-2015-P0015,CVPR-2015-A000057,Carlo Ciliberto,"Laboratory for Computational and Statistical Learning, Istituto Italiano di Tecnologia, Genova, Italy Poggio Lab, Massachusetts Institute of Technology, Cambridge, MA, USA DIBRIS, Universita’ degli studi di Genova, Genoa, Italy",United States | Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0015.txt
CVPR-2015-P0015,CVPR-2015-A000058,Lorenzo Rosasco,"Laboratory for Computational and Statistical Learning, Istituto Italiano di Tecnologia, Genova, Italy Poggio Lab, Massachusetts Institute of Technology, Cambridge, MA, USA DIBRIS, Universita’ degli studi di Genova, Genoa, Italy",United States | Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0015.txt
CVPR-2015-P0015,CVPR-2015-A000059,Silvia Villa,"Laboratory for Computational and Statistical Learning, Istituto Italiano di Tecnologia, Genova, Italy Poggio Lab, Massachusetts Institute of Technology, Cambridge, MA, USA DIBRIS, Universita’ degli studi di Genova, Genoa, Italy",United States | Italy,data/raw/cvpr/2015/first_pages/CVPR-2015-P0015.txt
CVPR-2015-P0016,CVPR-2015-A000060,Zhiwu Huang,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China | University of Chinese Academy of Sciences, Beijing, , China {wangruiping, sgshan",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0016,CVPR-2015-A000061,Ruiping Wang,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0016,CVPR-2015-A000062,Shiguang Shan,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0016,CVPR-2015-A000063,Xilin Chen,"Zhiwu Huang1, , Ruiping Wang1 , Shiguang Shan1 , Xilin Chen1 Key Laboratory of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0016.txt
CVPR-2015-P0017,CVPR-2015-A000064,Tianzhu Zhang,Advanced Digital Sciences Center China-Singapore Institute of Digital Media,China | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000065,Si Liu,National University of Singapore University of Illinois at Urbana-Champaign,Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000066,Changsheng Xu,Advanced Digital Sciences Center China-Singapore Institute of Digital Media,China | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000067,Shuicheng Yan,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000068,Bernard Ghanem,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000069,Narendra Ahuja,"Institute of Automation, CAS",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0017,CVPR-2015-A000070,Ming-Hsuan Yang,"Advanced Digital Sciences Center China-Singapore Institute of Digital Media Institute of Automation, CAS National University of Singapore University of Illinois at Urbana-Champaign",China | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0017.txt
CVPR-2015-P0018,CVPR-2015-A000071,HyeokHyen Kwon,KAIST,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0018.txt
CVPR-2015-P0018,CVPR-2015-A000072,Yu-Wing Tai,KAIST,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0018.txt
CVPR-2015-P0018,CVPR-2015-A000073,Stephen Lin,Microsoft Research,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0018.txt
CVPR-2015-P0019,CVPR-2015-A000074,Feng Lu,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0019.txt
CVPR-2015-P0019,CVPR-2015-A000075,Imari Sato,National Institute of Informatics Japan,Japan,data/raw/cvpr/2015/first_pages/CVPR-2015-P0019.txt
CVPR-2015-P0019,CVPR-2015-A000076,Yoichi Sato,"The University of Tokyo Japan This paper addresses the problem of uncalibrated photometric stereo with isotropic reflectances. Existing methods face difficulty in solving for the elevation angles of surface normals when the light sources only cover the visible hemisphere. Here, we introduce the notion of “constrained halfvector symmetry” for general isotropic BRDFs and show its capability of elevation angle recovery. This sort of symmetry can be observed in a 1D BRDF slice from a subset of surface normals with the same azimuth angle, and we use it to devise an efficient modeling and solution method to constrain and recover the elevation angles of surface normals accurately. To enable our method to work in an uncalibrated manner, we further solve for light sources in the case of general isotropic BRDFs. By combining this method with the existing ones for azimuth angle estimation, we can get state-of-the-art results for uncalibrated photometric stereo with general isotropic reflectances. Initial ele. ang. error: large Re-map elevation angles [ , ]->[ , ]",Japan,data/raw/cvpr/2015/first_pages/CVPR-2015-P0019.txt
CVPR-2015-P0020,CVPR-2015-A000077,Ran Tao,"ISLA, Informatics Institute, University of Amsterdam, The Netherlands",Netherlands,data/raw/cvpr/2015/first_pages/CVPR-2015-P0020.txt
CVPR-2015-P0020,CVPR-2015-A000078,Arnold W.M. Smeulders,"ISLA, Informatics Institute, University of Amsterdam, The Netherlands",Netherlands,data/raw/cvpr/2015/first_pages/CVPR-2015-P0020.txt
CVPR-2015-P0020,CVPR-2015-A000079,Shih-Fu Chang,"Department of Electrical Engineering, Columbia University, USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0020.txt
CVPR-2015-P0021,CVPR-2015-A000080,Mostafa Abdelrahman,"Electrical Engineering Department, Assiut University, Assiut , Egypt | CVIP Lab, University of Louisville, Louisville, KY , USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0021.txt
CVPR-2015-P0021,CVPR-2015-A000081,Aly Farag,"CVIP Lab, University of Louisville, Louisville, KY , USA",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0021.txt
CVPR-2015-P0021,CVPR-2015-A000082,David Swanson,"Department of Mathematics, University of Louisville, Louisville, KY , USA {aly.farag",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0021.txt
CVPR-2015-P0021,CVPR-2015-A000083,Moumen T. El-Melegy,"Electrical Engineering Department, Assiut University, Assiut , Egypt",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0021.txt
CVPR-2015-P0022,CVPR-2015-A000084,Christopher Zach,"Toshiba Research Europe Cambridge, UK",United Kingdom,data/raw/cvpr/2015/first_pages/CVPR-2015-P0022.txt
CVPR-2015-P0022,CVPR-2015-A000085,Adrian Penate-Sanchez,"CSIC-UPC Barcelona, Spain",Spain,data/raw/cvpr/2015/first_pages/CVPR-2015-P0022.txt
CVPR-2015-P0022,CVPR-2015-A000086,Minh-Tri Pham,"Toshiba Research Europe Cambridge, UK",United Kingdom,data/raw/cvpr/2015/first_pages/CVPR-2015-P0022.txt
CVPR-2015-P0023,CVPR-2015-A000087,Zhengzhong Lan,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0023.txt
CVPR-2015-P0023,CVPR-2015-A000088,Ming Lin,"School of Computer Science, Carnegie Mellon University lanzhzh, minglin, xcli, alex",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0023.txt
CVPR-2015-P0023,CVPR-2015-A000089,Xuanchong Li,"School of Computer Science, Carnegie Mellon University lanzhzh, minglin, xcli, alex",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0023.txt
CVPR-2015-P0023,CVPR-2015-A000090,Alex G. Hauptmann,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0023.txt
CVPR-2015-P0023,CVPR-2015-A000091,Bhiksha Raj,"School of Computer Science, Carnegie Mellon University lanzhzh, minglin, xcli, alex",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0023.txt
CVPR-2015-P0024,CVPR-2015-A000092,Dongping Li,Zhejiang University,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0024.txt
CVPR-2015-P0024,CVPR-2015-A000093,Kaiming He,Microsoft Research,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0024.txt
CVPR-2015-P0024,CVPR-2015-A000094,Jian Sun,Microsoft Research,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0024.txt
CVPR-2015-P0024,CVPR-2015-A000095,Kun Zhou,Zhejiang University,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0024.txt
CVPR-2015-P0025,CVPR-2015-A000096,Shaoxin Li,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0025.txt
CVPR-2015-P0025,CVPR-2015-A000097,Junliang Xing,"National Laboratory of Pattern Recognition, Institute of Automation, CAS, Beijing, , China | Department of Electrical and Computer Engineering, National University of Singapore, Singapore",China | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0025.txt
CVPR-2015-P0025,CVPR-2015-A000098,Zhiheng Niu,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0025.txt
CVPR-2015-P0025,CVPR-2015-A000099,Shiguang Shan,"Key Lab of Intelligent Information Processing of Chinese Academy of Sciences (CAS), Institute of Computing Technology, CAS, Beijing, , China National Laboratory of Pattern Recognition, Institute of Automation, CAS, Beijing, , China Department of Electrical and Computer Engineering, National University of Singapore, Singapore",China | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0025.txt
CVPR-2015-P0025,CVPR-2015-A000100,Shuicheng Yan,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0025.txt
