paper_id,author_id,author_name,institution_candidate,country_candidate,first_page_text_path
CVPR-2015-P0119,CVPR-2015-A000437,Jianhua Yao,"Imaging Biomarkers and Computer-Aided Diagnosis Laboratory Radiology and Imaging Sciences National Institutes of Health Clinical Center Bethesda, MD -",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0119.txt
CVPR-2015-P0119,CVPR-2015-A000438,Ronald M. Summers,"Imaging Biomarkers and Computer-Aided Diagnosis Laboratory Radiology and Imaging Sciences National Institutes of Health Clinical Center Bethesda, MD -",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0119.txt
CVPR-2015-P0120,CVPR-2015-A000439,Vignesh Ramanathan,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000440,Congcong Li,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000441,Jia Deng,University of Michigan | Google,United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000442,Wei Han,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000443,Zhen Li,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000444,Kunlong Gu,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000445,Yang Song,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
CVPR-2015-P0120,CVPR-2015-A000446,Samy Bengio,"Stanford University, Google, University of Michigan",United States,data/raw/cvpr/2015/first_pages/CVPR-2015-P0120.txt
