paper_id,author_id,author_name,variant,variant_priority,variant_coverage,author_count,institution_candidate,candidate_score,first_page_text_path,source_url
ECCV-2016-P0007,ECCV-2016-A000030,Marcus Rohrbach,stacked,2,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000031,Trevor Darrell,stacked,2,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000029,Ronghang Hu,shared,3,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000030,Marcus Rohrbach,shared,3,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0007,ECCV-2016-A000031,Trevor Darrell,shared,3,3,3,"UC Berkeley EECS, Berkeley, CA, USA",2,data/raw/eccv/2016/first_pages/ECCV-2016-P0007.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000032,Xiaodan Liang,numbered,0,2,5,"Sun Yat-sen University, Guangzhou, China",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000033,Xiaohui Shen,numbered,0,2,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000034,Jiashi Feng,numbered,0,2,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000035,Liang Lin,numbered,0,2,5,"Sun Yat-sen University, Guangzhou, China",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000036,Shuicheng Yan,numbered,0,2,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000032,Xiaodan Liang,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000033,Xiaohui Shen,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000034,Jiashi Feng,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000035,Liang Lin,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000036,Shuicheng Yan,stacked,2,0,5,UNKNOWN,-1000,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000032,Xiaodan Liang,shared,3,5,5,"Sun Yat-sen University, Guangzhou, China",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
ECCV-2016-P0008,ECCV-2016-A000033,Xiaohui Shen,shared,3,5,5,"Sun Yat-sen University, Guangzhou, China",4,data/raw/eccv/2016/first_pages/ECCV-2016-P0008.txt,https://link.springer.com/book/10.1007/978-3-319-46448-0
